Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 12) - Fee Account Type,CD3.X269,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 12) - Fee Date From,CD3.X267,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 12) - Fee Date To,CD3.X268,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 14) - Fee Account Type,CD3.X275,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 15) - Fee Date From,CD3.X276,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 15) - Fee Date To,CD3.X277,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Account Type - Line 1,CD3.X142,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Account Type - Line 11,CD3.X182,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Account Type - Line 2,CD3.X146,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Account Type - Line 3,CD3.X150,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Account Type - Line 9,CD3.X174,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Amount - Line 1,CD3.X140,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Amount - Line 11,CD3.X180,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Amount - Line 18,CD3.X208,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Amount - Line 19,CD3.X212,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Amount - Line 2,CD3.X144,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Amount - Line 3,CD3.X148,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Description - Line 1,CD3.X139,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Description - Line 15,CD3.X195,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Description - Line 2,CD3.X143,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Description - Line 3,CD3.X147,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Paid to - Line 1,CD3.X141,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Paid to - Line 11,CD3.X181,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Paid to - Line 18,CD3.X209,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Paid to - Line 2,CD3.X145,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Paid to - Line 20,CD3.X217,Screenshot 2025-08-24 at 1.33.33â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Paid to - Line 3,CD3.X149,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 4) - Fee Paid to - Line 7,CD3.X165,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 5) - Fee Amount - Line 1,CD3.X224,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 5) - Fee Description - Line 1,CD3.X223,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 6) - Fee Description - Line 1,CD3.X227,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 7) - Fee Account Type - Line 1,CD3.X234,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 7) - Fee Account Type - Line 5,CD3.X250,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 7) - Fee Amount - Line 5,CD3.X248,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 7) - Fee POC - Line 3,CD3.X241,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 7) - Fee POC - Line 6,CD3.X253,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 8) - Fee Account Type,CD3.X257,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Borrower at Closing (line 9) - Fee Account Type,CD3.X260,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 10) - Fee Account Type -,CD3.X1117,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 11) - Fee Account Type -,CD3.X1144,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 12) - Fee Account Type -,CD3.X1171,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Account Type -,CD3.X1210,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Account Type -,CD3.X1207,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Account Type -,CD3.X1201,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Account Type -,CD3.X1213,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Account Type -,CD3.X1222,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Account Type -,CD3.X1198,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Account Type -,CD3.X1219,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Account Type -,CD3.X1204,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Account Type -,CD3.X1216,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Amount - Line 0,CD3.X1206,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Amount - Line 0,CD3.X1218,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Amount - Line 0,CD3.X1209,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Amount - Line 0,CD3.X1212,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Amount - Line 0,CD3.X1203,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Amount - Line 0,CD3.X1221,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Amount - Line 0,CD3.X1200,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Amount - Line 0,CD3.X1215,Screenshot 2025-08-24 at 1.33.35â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Amount - Line 0,CD3.X1197,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Description - L,CD3.X1196,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Description - L,CD3.X1211,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Description - L,CD3.X1214,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Description - L,CD3.X1199,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Description - L,CD3.X1220,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Description - L,CD3.X1205,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Description - L,CD3.X1217,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Description - L,CD3.X1208,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 13) - Fee Description - L,CD3.X1202,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Other Items (line 9) - Fee Account Type - L,CD3.X1090,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Account Type - Line,CD3.X1060,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Account Type - Line,CD3.X1054,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Account Type - Line,CD3.X1048,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Account Type - Line,CD3.X1051,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Account Type - Line,CD3.X1066,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Account Type - Line,CD3.X1057,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Account Type - Line,CD3.X1063,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Amount - Line 02,CD3.X1050,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Amount - Line 03,CD3.X1053,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Amount - Line 04,CD3.X1056,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Amount - Line 05,CD3.X1059,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Amount - Line 06,CD3.X1062,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Amount - Line 07,CD3.X1065,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Description - Line 0,CD3.X1058,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Description - Line 0,CD3.X1061,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Description - Line 0,CD3.X1049,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Description - Line 0,CD3.X1052,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Description - Line 0,CD3.X1055,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 6) - Fee Description - Line 0,CD3.X1064,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Account Type - Line,CD3.X1087,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Account Type - Line,CD3.X1075,Screenshot 2025-08-24 at 1.33.36â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Account Type - Line,CD3.X1081,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Account Type - Line,CD3.X1072,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3- - Due from Seller at Closing - Payoffs (line 7) - Fee Account Type - Line,CD3.X1084,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Account Type - Line,CD3.X1069,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Account Type - Line,CD3.X1078,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Amount - Line 01,CD3.X1068,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Amount - Line 02,CD3.X1071,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Amount - Line 03,CD3.X1074,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Amount - Line 04,CD3.X1077,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Amount - Line 05,CD3.X1080,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Amount - Line 06,CD3.X1083,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Amount - Line 07,CD3.X1086,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Description - Line 0,CD3.X1070,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Description - Line 0,CD3.X1085,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Description - Line 0,CD3.X1067,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Description - Line 0,CD3.X1073,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Description - Line 0,CD3.X1082,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Description - Line 0,CD3.X1076,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due from Seller at Closing - Payoffs (line 7) - Fee Description - Line 0,CD3.X1079,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due to Seller at Closing (line 4) - Fee Amount - Line 01,CD3.X468,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due to Seller at Closing (line 7) - Fee Description - Line 01,CD3.X539,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due to Seller at Closing (line 8) - Fee Account Type - Line 01,CD3.X566,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Due to Seller at Closing (line 8) - Fee POC - Line 06,CD3.X585,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (line 11,CD3.X335,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (line 11,CD3.X324,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (Line 4),CD3.X283,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (Line 4),CD3.X281,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (Line 4),CD3.X279,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (Line 4),CD3.X282,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (Line 4),CD3.X284,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (line 7),CD3.X296,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (line 7),CD3.X301,Screenshot 2025-08-24 at 1.33.38â€¯PM.png
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (line 7),CD3.X299,
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (line 7),CD3.X292,
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (line 7),CD3.X308,
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (line 7),CD3.X305,
Database,Closing Disclosure Page 3 - Section L - Paid Already by or on Behalf of Borrower at Closing (line 8),CD3.X312,
Database,Closing Disclosure Page 3- - Section L - Paid By (line 10) - Line 1,CD3.X1524,
Database,Closing Disclosure Page 3 - Section L- - Paid By (line 11) - Line 4,CD3.X1528,
Database,Closing Disclosure Page 3 - Section L - - Paid By (line 8) - Line 1,CD3.X1522,
Database,Closing Disclosure Page 3 - Section M - Paid By (line 6) - Line 1,CD3.X1532,
Database,Closing Disclosure Page 3 - Section M - Paid By (line 8) - Line 3,CD3.X1536,
Database,Closing Disclosure Page 4 - Initial Escrow Payment,CD4.X44,
Database,Closing Disclosure Page 4 - Is HOA Dues Escrow,CD4.X45,
Database,Closing Disclosure Page 4 Escrow Indicator,CD4.X9,
Database,Closing Disclosure Page 4 Escrowed Property Costs Within 1 Year of Consummation,CD4.X40,
Database,Closing Disclosure Page 4 Interest Only Payment Months,CD4.X46,
Database,Closing Disclosure Page 4 Interest Rate Adjustments,CD4.X47,
Database,Closing Disclosure Page 4 Monthly Escrow Payment,CD4.X10,
Database,Closing Disclosure Page 4 Non-Escrowed Property Costs Within 1 Year of Consummation,CD4.X41,
Database,Closing Disclosure Page 4 Step Rate First Change,CD4.X48,
Database,Closing Disclosure Received Date,3978,
Database,Closing Disclosure Sent Date,3977,
Database,Closing Disclosure-Projected Calculation-Column 1-Maximum Monthly Payment UI Value,CD1 XD14,
Database,Closing Disclosure-Projected Calculation-Column 1-Maximum Principal and Interest Payment UI Value,CD1.XD9,
Database,Closing Disclosure-Projected Calculation-Column 1-Minimum Monthly Payment UI Value,CD1 XD13,
Database,Closing Disclosure-Projected Calculation-Column 1-Minimum Principal and Interest Payment UI Value,CD1.XD8,
Database,Closing Disclosure-Projected Calculation-Column 2-Maximum Monthly Payment UI Value,CD1 XD23,
Database,Closing Disclosure-Projected Calculation-Column 2-Maximum Principal and Interest Payment UI Value,CD1 XD18,
Database,Closing Disclosure-Projected Calculation-Column 2-Minimum Monthly Payment UI Value,CD1 XD22,
Database,Closing Disclosure-Projected Calculation-Column 2-Minimum Principal and Interest Payment UI Value,CD1 XD17,
Database,Closing Disclosure-Projected Calculation-Column 3-Maximum Monthly Payment UI Value,CD1 XD32,
Database,Closing Disclosure-Projected Calculation-Column 3-Maximum Principal and Interest Payment UI Value,CD1 XD27,
Database,Closing Disclosure-Projected Calculation-Column 3-Minimum Monthly Payment UI Value,CD1 XD31,
Database,Closing Disclosure-Projected Calculation-Column 3-Minimum Principal and Interest Payment UI Value,CD1 XD26,
Database,Closing Disclosure-Projected Calculation-Column 4-Maximum Monthly Payment UI Vavlue,CD1 XD41,
Database,Closing Disclosure-Projected Calculation-Column 4-Maximum Principal and Interest Payment UI Value,CD1 XD36,
Database,Closing Disclosure-Projected Calculation-Column 4-Minimum Monthly Payment UI Value,CD1 XD40,
Database,Closing Disclosure-Projected Calculation-Column 4-Minimum Principal and Interest Payment UI Value,CD1 XD35,
Database,Closing Docs 1003 Signature Date,3261,
Database,Closing Docs Borr 1 Org Trust Date or Year,2554,
Database,Closing Docs REGZ Loan Info Disbursement Date,2553,
Database,Closing Documents - Investor,PlanCode.ProgSpnsrNm,
Database,Closing Documents Logged for Funding,CX.CLOSING.DOCS.LOG,
Database,Closing Documents Logged for Funding By,CX.CLOSING.DOCS.LOG.BY,
Database,Closing Documents Logged for Funding Date,CX.CLOSING.DOCS.LOG.DATE,
Database,Closing Documents Received,CX.CLOSING.DOCS.REC,
Database,Closing Documents Received By,CX.CLOSING.DOCS.REC.BY,
Database,Closing Documents Received Date,CX.CLOSING.DOCS.REC.DATE,
Database,Closing Documents Requested,CX.CLOSING.DOCS.REQ,
Database,Closing Documents Requested By,CX.CLOSING.DOCS.REQ.BY,
Database,Closing Documents Requested Date,CX.CLOSING.DOCS.REQ.DATE,
Database,Closing Loan Info Loan is Locked,2400,
Database,CLTV,HMDA.X37,
Database,Co Borr Employment Monthly Income Amount,FE0256,
Database,Co Borr Employment Monthly Income Amount (Co-Mortgagor Pair: 2) - 2nd,FE0256#2,
Database,Co Borrower Ownership Interest Type,FE0255,
Database,Co Borrower Ownership Interest Type (Co-Mortgagor Pair: 2) - 2nd,FE0255#2,
Database,Co-Borr - I do not wish to furnish this info,189,
Database,Co-Borr Actual Fico Score,2850,
Database,Co-Borr Age,70,
Database,Co-Borr American Indian Tribe,4137,
Database,Co-Borr Asian Indian Indicator,4163,
Database,Co-Borr Business Phone (Co-Mortgagor Pair: 2) - 2nd,FE0217#2,
Database,Co-Borr Cell,1480,
Database,Co-Borr Cell (Co-Mortgagor Pair: 2) - 2nd,1480#2,
Database,Co-Borr Chinese Indicator,4164,
Database,Co-Borr Credit Score for Decision Making,4177,
Database,Co-Borr Credit Score for Decision Making,HMDA.X118,
Database,Co-Borr Credit Scoring Model,HMDA.X119,
Database,Co-Borr Credit Scoring Model,4178,
Database,Co-Borr Cuban Indicator,4161,
Database,Co-Borr Do Not Wish Indicator,4199,
Database,Co-Borr Do Not Wish Indicator,4206,
Database,Co-Borr DOB,1403,
Database,Co-Borr DOB (Co-Mortgagor Pair: 2) - 2nd,1403#2,
Database,Co-Borr Email,1268,
Database,Co-Borr Email (Co-Mortgagor Pair: 2) - 2nd,1268#2,
Database,Co-Borr Employer,FE0202,
Database,Co-Borr Employer Addr,FE0204,
Database,Co-Borr Employer City,FE0205,
Database,Co-Borr Equifax Beacon,1415,
Database,Co-Borr Ethnicity,1531,
Database,Co-Borr Experian Fico,60,
Database,Co-Borr Female Indicator,4197,
Database,Co-Borr Filipino Indicator,4165,
Database,Co-Borr Guamanian or Chamorro Indicator,4171,
Database,Co-Borr Hmda Ethnicity Reported Field 1,4231,
Database,Co-Borr Hmda Ethnicity Reported Field 2,4232,
Database,Co-Borr Hmda Ethnicity Reported Field 3,4233,
Database,Co-Borr Hmda Ethnicity Reported Field 4,4234,
Database,Co-Borr Hmda Ethnicity Reported Field 5,4235,
Database,Co-Borr Hmda Race Reported Field 1,4226,
Database,Co-Borr Hmda Race Reported Field 2,4227,
Database,Co-Borr Hmda Race Reported Field 3,4228,
Database,Co-Borr Hmda Race Reported Field 4,4229,
Database,Co-Borr Hmda Race Reported Field 5,4230,
Database,Co-Borr Home Phone (Co-Mortgagor Pair: 2) - 2nd,98#2,
Database,Co-Borr Information Not Provided,4248,
Database,Co-Borr Information Not Provided,4247,
Database,Co-Borr Information Not Provided Indicator,4246,
Database,Co-Borr Japanese Indicator,4166,
Database,Co-Borr Korean Indicator,4167,
Database,Co-Borr Language Preference,URLA.X22,
Database,Co-Borr Language Preference (Co-Mortgagor Pair: 2) - 2nd,URLA X22#2,
Database,Co-Borr Marital Status,84,
Database,Co-Borr Marital Status (Co-Mortgagor Pair: 2) - 2nd,84#2,
Database,Co-Borr Mexican Indicator,4159,
Database,Co-Borr Min Fico,1502,
Database,Co-Borr Native Hawaiian Indicator,4170,
